iter	Passed	Remaining
0	0	87
1	1	78
2	2	79
3	3	72
4	3	72
5	4	71
6	5	70
7	5	68
8	6	67
9	7	67
10	8	66
11	8	65
12	9	65
13	10	64
14	11	63
15	11	62
16	12	62
17	13	61
18	14	59
19	14	59
20	15	58
21	16	57
22	17	57
23	18	57
24	18	56
25	19	56
26	20	55
27	21	55
28	22	54
29	23	53
30	23	52
31	24	52
32	25	51
33	25	50
34	26	49
35	27	48
36	28	48
37	29	47
38	29	46
39	30	45
40	31	44
41	31	43
42	32	42
43	32	41
44	33	41
45	34	40
46	35	39
47	35	38
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	42	31
57	43	31
58	43	30
59	44	29
60	45	28
61	46	28
62	47	27
63	47	26
64	48	26
65	49	25
66	50	24
67	50	23
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	55	19
74	55	18
75	56	17
76	57	17
77	57	16
78	58	15
79	59	14
80	60	14
81	60	13
82	61	12
83	62	11
84	63	11
85	63	10
86	64	9
87	65	8
88	66	8
89	66	7
90	67	6
91	68	5
92	69	5
93	69	4
94	70	3
95	71	2
96	71	2
97	72	1
98	73	0
99	74	0
